,country_name,country_code,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,CBD,KYOTO,UNCCD,ITTA,CITES,RAMSAR,WORLD HERITAGE,NLBI,ILO 169,Agricultural land (% of land area) 2013,Population change 2015 %,GDP per capita (current US$) 2015,GDP growth (annual %) 2015,Food production index 2013,loss_14_%,certified_%,loss_quartile,UNFCCC_Annex I Party,UNFCCC_Annex I/II Party,UNFCCC_Non Party,UNFCCC_Non-Annex I Party
10,Austria,AUT,4000000,52.0,7018.0,65824.0,0.53,0.03,0.44,2.0,7.1,1.9,65.0,75.0,391.0,5.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,38.2,0.8,43438.9,0.9,102.0,0.17545,5e-05,2.0,0,1,0,0
11,Azerbaijan,AZE,1000000,15.0,323.0,865.0,0.55,0.43,0.02,0.0,16.2,0.03,4.0,10.0,54.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,57.7,1.2,5496.3,1.1,139.8,0.0323,0.0,1.0,0,0,0,1
12,Bahamas,BHS,304000,26.0,486.0,787.0,1.0,,,0.0,3.3,0.04,1.0,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.4,1.3,22896.9,1.2,133.8,0.159868421053,0.0,2.0,0,0,0,1
13,Bangladesh,BGD,2000000,15.0,8929.0,7022.0,0.52,0.29,0.19,0.0,1.5,1.3,44.0,8.0,99.0,16.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,70.0,1.2,1211.7,6.6,135.4,0.44645,0.0,3.0,0,0,0,1
14,Barbados,BRB,5000,12.0,1.0,196.0,1.0,,,0.0,,,,,,,,,,,,,,,,32.6,0.3,15660.7,1.0,97.2,0.02,0.0,1.0,0,0,0,0
15,Belarus,BLR,9000000,44.0,27331.0,375557.0,0.73,0.05,0.22,13.0,575.0,1.1,113.0,2.0,646.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,43.0,0.3,5740.5,-3.9,125.9,0.303677777778,0.000144444444444,3.0,1,0,0,0
16,Belgium,BEL,864000,28.0,3467.0,37357.0,0.42,,0.58,310.0,2.7,0.6,28.0,2.0,72.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,44.1,0.5,40231.3,1.4,101.8,0.401273148148,0.0358796296296,3.0,0,1,0,0
17,Belize,BLZ,2000000,81.0,14497.0,12796.0,0.56,0.44,,65.0,15.1,1.1,2.0,,169.0,34.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,2.1,4906.9,1.9,102.2,0.72485,0.00325,4.0,0,0,0,1
18,Benin,BEN,169000,1.0,1174.0,6899.0,0.99,,0.01,0.0,145.4,2.2,2.0,14.0,248.0,49.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33.3,2.6,779.1,5.2,151.6,0.694674556213,0.0,4.0,0,0,0,1
19,Bermuda,BMU,604,11.0,0.0,38.0,,,,0.0,,,,,,,,,,,,,,,,6.0,0.1,,,119.8,0.0,0.0,1.0,0,0,0,0
20,Bhutan,BTN,3000000,65.0,982.0,2159.0,0.84,0.15,0.01,0.0,66.9,3.8,3.0,0.0,293.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,13.6,1.3,2532.5,3.3,97.1,0.0327333333333,0.0,1.0,0,0,0,1
21,Bolivia,BOL,65000000,60.0,220469.0,173608.0,0.34,0.66,,890.0,431.0,2.2,9.0,3.0,4442.0,66.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,34.8,1.5,3095.4,4.0,135.5,0.339183076923,0.00136923076923,3.0,0,0,0,1
22,Bosnia and Herzegovina,BIH,3000000,52.0,1310.0,26485.0,0.54,,0.46,1.0,254.3,1.7,13.0,,118.0,0.86,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,42.1,-0.2,4197.8,3.2,117.0,0.0436666666667,3.33333333333e-05,1.0,0,0,0,1
23,Botswana,BWA,20000,0.0,15.0,90.0,1.0,,,0.0,97.4,0.7,2.0,,636.0,44.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.7,1.9,6360.6,-0.3,130.0,0.075,0.0,2.0,0,0,0,1
24,Brazil,BRA,519000000,62.0,2262241.0,7586752.0,0.57,0.41,0.02,7.0,22.5,1.1,772.0,519.0,59222.0,44.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,33.4,0.9,8538.6,-3.8,136.7,0.435884585742,1.34874759152e-06,3.0,0,0,0,1
25,Brunei Darussalam,BRN,528000,92.0,1772.0,8770.0,0.3,0.69,0.01,0.0,10.2,0.06,2.0,0.0,72.0,9.2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7,1.4,36607.9,-0.5,167.2,0.335606060606,0.0,3.0,0,0,0,1
26,Bulgaria,BGR,4000000,37.0,4767.0,67807.0,0.71,0.09,0.2,637.0,482.1,1.0,50.0,22.0,213.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,-0.6,6819.9,3.0,120.4,0.119175,0.015925,2.0,0,1,0,0
27,Burkina Faso,BFA,132,0.0,0.0,0.0,0.96,,0.04,0.0,308.5,3.5,17.0,14.0,247.0,36.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,2.9,613.0,4.0,123.9,0.0,0.0,1.0,0,0,0,1
28,Burundi,BDI,538000,22.0,1556.0,3565.0,0.42,0.14,0.44,0.0,70.6,3.2,2.0,5.0,27.0,57.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,79.2,3.3,276.0,-2.5,144.8,0.289219330855,0.0,3.0,0,0,0,1
29,Cambodia,KHM,9000000,50.0,123778.0,109563.0,0.96,0.03,0.01,12.0,390.3,3.2,7.0,5.0,433.0,47.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,32.9,1.6,1158.7,7.0,180.9,1.37531111111,0.000133333333333,4.0,0,0,0,1
30,Cameroon,CMR,31000000,68.0,140853.0,65088.0,,,,1.0,695.3,2.8,22.0,,2548.0,57.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.6,2.5,1250.8,6.2,160.2,0.454364516129,3.22580645161e-06,3.0,0,0,0,1
31,Canada,CAN,418000000,49.0,2075558.0,9107233.0,0.36,0.59,0.05,171.0,19.8,1.2,234.0,401.0,13908.0,16.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.2,0.9,43248.5,1.1,115.4,0.496544976077,4.09090909091e-05,3.0,0,1,0,0
32,Cayman Islands,CYM,13000,51.0,7.0,43.0,,,,0.0,,,,,,,,,,,,,,,,11.3,1.3,,,112.6,0.0538461538462,0.0,1.0,0,0,0,0
33,Central African Republic,CAF,47000000,76.0,48983.0,39464.0,0.91,0.09,,0.0,72.3,3.5,6.0,0.0,2843.0,23.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,8.2,2.0,306.8,5.5,121.5,0.104219148936,0.0,2.0,0,0,0,1
34,Chad,TCD,410000,0.0,2179.0,75.0,1.0,,,0.0,73.3,0.8,1.0,0.0,268.0,35.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,39.7,3.3,775.7,1.8,120.1,0.531463414634,0.0,3.0,0,0,0,1
35,Chile,CHL,19000000,26.0,108247.0,1460991.0,0.53,0.3,0.17,4.0,7.6,3.3,85.0,75.0,1492.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,21.2,1.0,13383.9,2.1,117.4,0.569721052632,2.10526315789e-05,4.0,0,0,0,1
36,China,CHN,163000000,18.0,383591.0,2238877.0,0.57,0.06,0.37,3.0,126.0,1.6,3.0,290.0,6787.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,54.8,0.5,7924.7,6.9,129.5,0.23533190184,1.84049079755e-06,3.0,0,0,0,1
37,"Hong Kong, Special Administrative Region of China",HKG,62000,58.0,17.0,263.0,,,,0.0,,,,,,,,,,,,,,,,4.9,0.9,42422.9,2.4,59.7,0.0274193548387,0.0,1.0,0,0,0,0
38,Colombia,COL,82000000,73.0,165506.0,551734.0,,,1.0,127.0,1.8,0.6,48.0,,8867.0,22.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40.4,0.9,6056.1,3.1,116.6,0.201836585366,0.00015487804878,2.0,0,0,0,1
39,Comoros,COM,135000,82.0,1152.0,429.0,0.7,0.22,0.08,0.0,,,,0.0,1.0,34.4,,,,,,,,,,71.5,2.4,,,112.9,0.853333333333,0.0,4.0,0,0,0,0
40,Congo (Brazzaville),COG,26000000,78.0,58905.0,46645.0,0.67,0.33,,1.0,149.1,0.9,9.0,,3427.0,56.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.1,2.5,1851.2,2.6,136.0,0.226557692308,3.84615384615e-06,2.0,0,0,0,1
41,"Congo, Democratic Republic of the",COD,199000000,87.0,1100879.0,1392572.0,0.33,0.67,,0.0,85.1,0.6,16.0,,19441.0,82.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.6,3.1,456.1,6.9,117.1,0.553205527638,0.0,4.0,0,0,0,1
42,Costa Rica,CRI,4000000,77.0,9024.0,38151.0,0.34,0.66,,52.0,391.3,1.0,15.0,4130.0,253.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,35.6,1.1,10629.8,2.8,123.5,0.2256,0.0013,2.0,0,0,0,1
43,Croatia,HRV,2000000,43.0,3228.0,26469.0,0.96,,0.04,2.0,781.7,1.5,26.0,7.0,256.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,23.3,-0.3,11535.8,1.6,98.2,0.1614,0.0001,2.0,1,0,0,0
44,Cuba,CUB,4000000,37.0,4017.0,227170.0,0.83,,0.17,0.0,103.9,0.2,25.0,0.0,312.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,59.6,0.1,,,103.2,0.100425,0.0,2.0,0,0,0,1
45,Cyprus,CYP,102000,11.0,54.0,201.0,0.75,0.08,0.17,0.0,110.8,0.5,4.0,0.0,4.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,11.8,1.0,22957.4,1.6,81.4,0.0529411764706,0.0,1.0,0,1,0,0
46,Czech Republic,CZE,3000000,39.0,11125.0,133107.0,,1.0,,1.0,3.5,1.8,109.0,25.0,366.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,54.6,0.2,17231.3,4.2,92.3,0.370833333333,3.33333333333e-05,3.0,1,0,0,0
47,Denmark,DNK,663000,16.0,3815.0,32196.0,0.19,0.06,0.75,452.0,1.5,0.5,19.0,3.0,41.0,2.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,61.5,0.6,52002.2,1.2,102.6,0.575414781297,0.0681749622926,4.0,0,1,0,0
48,Dominica,DMA,71000,95.0,12.0,13.0,0.39,0.61,,0.0,,,,,,24.8,,,,,,,,,,33.3,0.5,7399.3,2.8,110.0,0.0169014084507,0.0,1.0,0,0,0,0
49,Dominican Republic,DOM,3000000,54.0,10158.0,39307.0,0.94,,0.06,0.0,20.8,0.04,11.0,9.0,142.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,48.7,1.2,6373.6,7.0,135.5,0.3386,0.0,3.0,0,0,0,1
50,Ecuador,ECU,19000000,75.0,24641.0,102684.0,,0.99,0.01,52.0,1.7,2.3,26.0,,1490.0,60.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.3,1.5,6248.1,0.3,115.5,0.129689473684,0.000273684210526,2.0,0,0,0,1
51,Egypt,EGY,154000,0.0,104.0,4973.0,,,1.0,0.0,442.6,0.2,39.0,,7.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.8,2.1,3614.7,4.2,118.7,0.0675324675325,0.0,1.0,0,0,0,1
52,El Salvador,SLV,989000,49.0,1818.0,8598.0,0.92,0.02,0.06,0.0,344.8,1.6,19.0,,,10.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,76.4,0.3,4219.4,2.5,112.5,0.183822042467,0.0,2.0,0,0,0,1
53,Equatorial Guinea,GNQ,3000000,99.0,15181.0,5567.0,1.0,,,0.0,36.3,0.3,1.0,0.0,195.0,20.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,10.1,2.9,11120.9,-12.2,118.2,0.506033333333,0.0,3.0,0,0,0,1
54,Eritrea,ERI,4,4.0,0.0,5.0,0.97,,0.03,0.0,0.6,0.02,,,,7.2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,75.2,,,,110.7,0.0,0.0,1.0,0,0,0,1
55,Estonia,EST,3000000,61.0,19637.0,89431.0,0.9,0.03,0.07,3.0,846.6,4.3,21.0,23.0,165.0,31.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,22.8,-0.2,17295.4,1.1,133.8,0.654566666667,0.0001,4.0,0,1,0,0
56,Ethiopia,ETH,12000000,11.0,28219.0,62537.0,0.92,,0.08,0.0,893.7,3.2,9.0,,219.0,18.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,36.3,2.5,619.1,9.6,147.5,0.235158333333,0.0,2.0,0,0,0,1
57,Fiji,FJI,2000000,87.0,3140.0,11895.0,0.44,0.4,0.16,85.0,61.8,2.0,4.0,3.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23.3,0.6,4916.3,3.4,85.8,0.157,0.00425,2.0,0,0,0,1
58,Finland,FIN,22000000,71.0,157812.0,1084872.0,0.68,0.01,0.31,21.0,9.6,4.3,75.0,140.0,780.0,8.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.4,0.4,41920.8,0.5,96.2,0.717327272727,9.54545454545e-05,4.0,0,1,0,0
59,France,FRA,17000000,31.0,35710.0,506164.0,0.88,,0.12,7.0,14.6,0.6,161.0,,1364.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,52.5,0.5,36248.2,1.2,98.6,0.210058823529,4.11764705882e-05,2.0,0,1,0,0
60,French Polynesia,PYF,0,0.0,0.0,0.0,0.68,0.26,0.06,0.0,,,,0.0,21.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1.1,,,104.6,,,,0,0,1,0
61,Gabon,GAB,25000000,94.0,41704.0,39070.0,0.44,0.56,,2.0,422.2,1.8,21.0,,2992.0,6.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,2.2,8311.5,3.9,120.9,0.166816,8e-06,2.0,0,0,0,1
62,Gambia,GMB,5000,0.0,11.0,25.0,1.0,,,0.0,4.8,0.6,2.0,,32.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,59.8,3.2,,,97.4,0.22,0.0,2.0,0,0,0,1
63,Georgia,GEO,3000000,45.0,104.0,4788.0,0.8,0.18,0.02,0.0,61.4,0.5,11.0,0.0,212.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,36.7,-1.3,3796.0,2.8,86.9,0.00346666666667,0.0,1.0,0,0,0,1
64,Germany,DEU,13000000,35.0,15981.0,258493.0,0.54,,0.46,8.0,26.1,0.8,317.0,48.0,1189.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,47.9,0.5,41219.0,1.7,107.4,0.122930769231,6.15384615385e-05,2.0,0,1,0,0
65,Ghana,GHA,7000000,30.0,93511.0,134527.0,0.92,0.04,0.04,1.0,1.3,3.5,37.0,20.0,713.0,53.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,69.0,2.3,1381.4,3.9,143.7,1.33587142857,1.42857142857e-05,4.0,0,0,0,1
66,Greece,GRC,4000000,28.0,2688.0,35571.0,0.97,,0.03,0.0,1.0,0.4,33.0,,82.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,63.1,-0.6,18035.6,-0.2,87.8,0.0672,0.0,1.0,0,1,0,0
67,Grenada,GRD,29000,81.0,80.0,72.0,0.85,0.14,0.01,0.0,,,,,,,,,,,,,,,,32.4,0.4,9156.5,3.4,96.3,0.275862068966,0.0,3.0,0,0,0,0
68,Guatemala,GTM,8000000,71.0,48654.0,109466.0,0.57,0.38,0.05,464.0,462.4,1.0,15.0,10.0,271.0,40.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,34.7,2.0,3903.5,4.1,151.3,0.608175,0.0058,4.0,0,0,0,1
69,Guinea,GIN,8000000,33.0,86406.0,29669.0,0.97,0.01,0.02,0.0,220.1,4.3,10.0,,602.0,47.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,59.0,2.7,531.3,0.1,123.5,1.080075,0.0,4.0,0,0,0,1
70,Guinea-Bissau,GNB,1000000,32.0,10315.0,6529.0,1.0,,,0.0,20.9,2.4,1.0,,94.0,49.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,58.0,2.4,573.0,4.8,140.7,1.0315,0.0,4.0,0,0,0,1
71,Guyana,GUY,19000000,91.0,8083.0,11390.0,0.61,0.39,,0.0,95.7,4.1,9.0,0.0,4809.0,52.9,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,8.5,0.4,4127.4,3.0,129.9,0.0425421052632,0.0,1.0,0,0,0,1
72,Haiti,HTI,858000,32.0,2998.0,4806.0,0.67,,0.33,0.0,7.5,0.1,1.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,66.8,1.3,828.8,1.7,121.0,0.349417249417,0.0,3.0,0,0,0,1
73,Honduras,HND,8000000,69.0,44608.0,58291.0,0.9,0.1,,87.0,146.0,0.8,13.0,,292.0,58.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.9,1.4,2495.6,3.6,118.6,0.5576,0.0010875,4.0,0,0,0,1
74,Hungary,HUN,2000000,22.0,11098.0,134948.0,0.2,,0.8,320.0,1.0,0.9,56.0,14.0,122.0,5.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,59.0,-0.2,12259.1,2.9,88.8,0.5549,0.016,4.0,0,1,0,0
75,Iceland,ISL,13000,23.0,36.0,291.0,,,,,,,,,,,,,,,,,,,,18.7,1.0,50173.3,4.0,114.2,0.276923076923,,3.0,0,0,0,0
76,India,IND,39000000,12.0,112653.0,255029.0,0.61,0.22,0.17,452.0,31.0,1.7,707.0,,2923.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,60.6,1.2,1581.6,7.6,138.8,0.288853846154,0.00115897435897,3.0,0,0,0,1
77,Indonesia,IDN,161000000,86.0,1490457.0,6970546.0,0.44,0.51,0.05,1.0,14.0,1.7,445.0,866.0,12477.0,61.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,31.5,1.2,3346.5,4.8,137.5,0.925749689441,6.21118012422e-07,4.0,0,0,0,1
78,"Iran, Islamic Republic of",IRN,2000000,1.0,77.0,1136.0,0.89,0.02,0.09,0.0,1.2,0.2,35.0,37.0,163.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,28.3,1.2,,,113.3,0.00385,0.0,1.0,0,0,0,1
79,Iraq,IRQ,18000,0.0,1.0,292.0,0.98,,0.02,0.0,21.9,0.01,5.0,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,21.3,3.2,4629.1,2.1,126.1,0.00555555555556,0.0,1.0,0,0,0,1
80,Ireland,IRL,842000,12.0,4248.0,123819.0,0.09,,0.91,823.0,743.8,0.4,10.0,6.0,23.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,65.0,0.5,51289.7,7.8,99.2,0.504513064133,0.0977434679335,3.0,0,1,0,0
81,Isle of Man,IMN,13000,23.0,36.0,291.0,,,,0.0,,,,0.0,,,,,,,,,,,,68.1,0.7,,,,0.276923076923,0.0,3.0,0,0,0,0
82,Israel,ISR,30000,1.0,112.0,1890.0,0.46,,0.54,0.0,741.1,0.3,13.0,0.0,4.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,24.0,2.0,35329.5,2.5,110.2,0.373333333333,0.0,3.0,0,0,0,1
83,Italy,ITA,9000000,31.0,14386.0,89811.0,0.92,0.01,0.07,788.0,15.0,0.8,258.0,5.0,641.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.3,0.0,29847.0,0.8,94.8,0.159844444444,0.00875555555556,2.0,1,0,0,0
84,Jamaica,JAM,745000,,,,0.72,0.26,0.02,0.0,64.1,0.5,2.0,0.0,47.0,7.9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,41.0,0.2,5137.9,0.9,106.1,,0.0,,0,0,0,1
85,Japan,JPN,26000000,72.0,22316.0,257182.0,0.39,0.2,0.41,421.0,39.0,0.7,375.0,24.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,12.4,-0.1,32477.2,0.5,97.9,0.0858307692308,0.00161923076923,2.0,0,1,0,0
86,Jordan,JOR,2000,0.0,0.0,8.0,0.52,,0.48,0.0,129.4,0.5,8.0,,2.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,11.9,2.4,4940.0,2.4,136.7,0.0,0.0,1.0,0,0,0,1
87,Kazakhstan,KAZ,4000000,2.0,488.0,23877.0,0.73,,0.27,0.0,173.2,0.1,11.0,,137.0,0.18,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,80.4,1.5,10508.4,1.2,125.5,0.0122,0.0,1.0,0,0,0,1
88,Kenya,KEN,3000000,6.0,12617.0,100418.0,0.95,,0.05,0.0,365.1,1.2,18.0,5.0,634.0,14.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,48.5,2.6,1376.7,5.6,122.9,0.420566666667,0.0,3.0,0,0,0,1
89,"Korea, Democratic People's Republic of",PRK,5000000,43.0,8424.0,13683.0,0.72,0.14,0.14,0.0,456.0,2.9,14.0,,152.0,16.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,21.8,0.5,,,102.5,0.16848,0.0,2.0,0,0,0,1
90,"Korea, Republic of",KOR,5000000,54.0,9853.0,27177.0,0.14,0.56,0.3,381.0,8.2,0.8,101.0,21.0,419.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,18.1,0.4,27221.5,2.6,104.0,0.19706,0.00762,2.0,0,0,0,1
91,Lao PDR,LAO,19000000,84.0,191031.0,337964.0,0.93,0.06,0.01,154.0,164.2,2.1,8.0,,1064.0,70.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,10.1,1.7,1812.3,7.0,152.9,1.00542631579,0.000810526315789,4.0,0,0,0,1
92,Latvia,LVA,4000000,56.0,26996.0,185696.0,0.81,,0.19,3.0,1.7,6.5,41.0,35.0,285.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,30.0,-0.8,13664.9,1.9,120.7,0.6749,7.5e-05,4.0,0,1,0,0
93,Lebanon,LBN,65000,6.0,100.0,1772.0,0.92,,0.08,0.0,155.2,0.4,6.0,,2.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,64.3,4.2,8050.8,1.5,96.1,0.153846153846,0.0,2.0,0,0,0,1
94,Lesotho,LSO,6000,0.0,16.0,205.0,0.65,,0.35,0.0,18.5,0.8,,,3.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,74.2,1.2,,,111.7,0.266666666667,0.0,3.0,0,0,0,1
95,Liberia,LBR,9000000,98.0,111882.0,108378.0,0.96,0.04,,0.0,159.7,15.2,3.0,30.0,583.0,89.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,28.0,2.4,455.9,0.3,120.3,1.24313333333,0.0,4.0,0,0,0,1
96,Libya,LBY,7000,0.0,3.0,410.0,,,1.0,0.0,45.9,0.1,2.0,,6.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,8.7,0.3,4643.3,-10.2,110.2,0.0428571428571,0.0,1.0,0,0,0,1
